iter	F1	Logloss
0	0.7910357359	0.6657174169
1	0.7976323788	0.6413335968
2	0.7951884523	0.6204955775
3	0.7940750282	0.6002056945
4	0.7994870973	0.5838988341
5	0.7981947131	0.5703299285
6	0.8007736944	0.5558654558
7	0.7980598222	0.5425943253
8	0.797082658	0.5322926822
9	0.7996761134	0.5219425922
10	0.802066516	0.5110474263
11	0.8049525647	0.5015242224
12	0.8047565483	0.4928191757
13	0.8104575163	0.4847593364
14	0.8078092495	0.4778307427
15	0.8096	0.4704569588
16	0.8105515588	0.4646524838
17	0.8120108609	0.4577280562
18	0.8115710404	0.4527843608
19	0.8129197314	0.4471497646
20	0.8133971292	0.442904905
21	0.8144724259	0.4386034013
22	0.8162679426	0.4346886688
23	0.8151688974	0.4311015775
24	0.8159235669	0.4279828985
25	0.8176180633	0.4251083379
26	0.8182540945	0.4227167478
27	0.8187599364	0.4195181343
28	0.8196408708	0.4160750781
29	0.8196981732	0.4134533642
30	0.8188175461	0.411074489
31	0.8195416932	0.4084870432
32	0.8192809418	0.4059927104
33	0.8183842239	0.4038953023
34	0.819453274	0.4018569929
35	0.8210994598	0.4001988553
36	0.8200730507	0.3982746553
37	0.8207082738	0.3964699665
38	0.8206918439	0.3943160962
39	0.8218135701	0.3926336381
40	0.8222045995	0.3913597864
41	0.8224476855	0.3897763166
42	0.8235294118	0.3886147642
43	0.8240126382	0.3872381158
44	0.8241983889	0.3860696158
45	0.8242347744	0.3849186212
46	0.8250512699	0.383899441
47	0.8256620429	0.3830043285
48	0.8266288058	0.3817089305
49	0.8264984227	0.3805374564
50	0.8261281161	0.3796500308
51	0.8257779182	0.3788070682
52	0.8259224219	0.3779838541
53	0.8265740887	0.3770421345
54	0.8274664562	0.3761663748
55	0.8266834884	0.3752762082
56	0.8270534447	0.3743879083
57	0.827368753	0.3737120726
58	0.8282605267	0.3728336348
59	0.8286840032	0.3721102013
60	0.8293682055	0.3716120782
61	0.828999212	0.3708311824
62	0.8295830055	0.3698640445
63	0.8300818125	0.3692559274
64	0.8288997324	0.3686427693
65	0.8287692792	0.3680931516
66	0.8285849205	0.3675428201
67	0.829375688	0.3665931801
68	0.8294524858	0.366204432
69	0.8288231592	0.3657198596
70	0.8293220072	0.3652122492
71	0.8290611731	0.3647894839
72	0.8290073934	0.364287629
73	0.829506134	0.363905516
74	0.829506134	0.363549676
