iter	Passed	Remaining
0	61	30888
1	66	16462
2	70	11621
3	72	8974
4	74	7373
5	76	6284
6	78	5500
7	79	4910
8	81	4456
9	83	4089
10	85	3819
11	88	3581
12	97	3641
13	99	3443
14	101	3265
15	103	3133
16	105	2998
17	107	2877
18	109	2770
19	111	2681
20	113	2591
21	116	2541
22	118	2465
23	120	2399
24	123	2338
25	125	2283
26	127	2238
27	131	2215
28	134	2177
29	136	2133
30	137	2085
31	140	2050
32	142	2012
33	164	2259
34	167	2229
35	170	2202
36	173	2167
37	174	2125
38	176	2086
39	178	2055
40	180	2025
41	183	1996
42	185	1975
43	187	1947
44	190	1923
45	192	1897
46	194	1875
47	197	1856
48	200	1845
49	202	1822
50	204	1802
51	207	1783
52	209	1762
53	210	1740
54	213	1724
55	215	1706
56	217	1687
57	219	1671
58	221	1654
59	223	1638
60	225	1620
61	227	1605
62	229	1590
63	231	1575
64	233	1561
65	235	1547
66	237	1536
67	239	1522
68	242	1514
69	244	1502
70	246	1490
71	248	1479
72	251	1472
73	254	1462
74	256	1452
75	258	1440
76	260	1430
77	262	1420
78	264	1409
79	266	1398
80	268	1386
81	270	1377
82	272	1367
83	274	1357
84	276	1348
85	278	1339
86	280	1331
87	282	1321
88	284	1312
89	286	1303
90	289	1299
91	291	1290
92	292	1281
93	295	1274
94	297	1269
95	299	1260
96	302	1255
97	304	1247
98	306	1240
99	308	1233
100	310	1226
101	312	1219
102	314	1211
103	316	1204
104	318	1198
105	320	1191
106	322	1184
107	324	1178
108	326	1172
109	328	1165
110	330	1159
111	333	1153
112	335	1147
113	337	1141
114	339	1135
115	342	1132
116	344	1127
117	346	1121
118	348	1116
119	350	1111
120	352	1104
121	354	1099
122	356	1092
123	358	1086
124	360	1081
125	362	1077
126	364	1071
127	366	1065
128	369	1061
129	371	1056
130	373	1052
131	376	1049
132	378	1044
133	380	1039
134	383	1038
135	386	1034
136	389	1031
137	391	1026
138	394	1023
139	396	1018
140	398	1013
141	400	1009
142	402	1005
143	404	1000
144	406	995
145	408	991
146	411	987
147	413	982
148	414	977
149	417	973
150	418	968
151	420	963
152	422	958
153	424	953
154	427	952
155	430	948
156	431	942
157	433	937
158	435	934
159	437	929
160	439	924
161	441	920
162	443	916
163	445	911
164	447	908
165	449	903
166	451	899
167	453	896
168	456	893
169	458	889
170	460	885
171	462	881
172	464	878
173	466	874
174	468	870
175	471	867
176	473	864
177	475	860
178	477	857
179	480	854
180	482	851
181	484	847
182	488	845
183	490	843
184	493	839
185	495	836
186	497	832
187	499	828
188	501	825
189	504	822
190	506	819
191	508	816
192	510	812
193	512	808
194	515	805
195	518	804
196	520	800
197	522	796
198	524	793
199	526	789
200	528	786
201	531	783
202	533	779
203	535	777
204	537	773
205	540	770
206	542	767
207	544	764
208	546	761
209	548	757
210	550	754
211	553	751
212	555	747
213	557	744
214	559	741
215	561	738
216	563	734
217	566	732
218	568	729
219	570	726
220	572	723
221	574	719
222	576	716
223	578	712
224	580	709
225	583	707
226	585	704
227	588	702
228	590	699
229	593	696
230	595	694
231	598	691
232	600	688
233	602	685
234	604	681
235	606	678
236	608	675
237	610	672
238	613	669
239	615	666
240	617	663
241	619	660
242	622	658
243	625	656
244	627	653
245	629	649
246	631	646
247	633	643
248	635	640
249	638	638
250	641	636
251	643	633
252	645	629
253	648	627
254	650	625
255	653	622
256	655	619
257	657	617
258	660	614
259	661	611
260	664	608
261	666	605
262	668	602
263	671	600
264	674	598
265	677	596
266	680	593
267	683	591
268	685	588
269	688	586
270	690	583
271	693	580
272	696	579
273	700	577
274	702	574
275	705	572
276	707	569
277	710	567
278	712	564
279	714	561
280	716	558
281	718	555
282	720	552
283	722	549
284	724	546
285	726	543
286	729	541
287	731	538
288	733	535
289	735	532
290	737	529
291	739	526
292	741	523
293	743	521
294	745	518
295	747	515
296	749	512
297	751	509
298	753	506
299	755	503
300	757	501
301	760	498
302	763	496
303	765	493
304	767	490
305	769	487
306	772	485
307	775	483
308	777	480
309	779	477
310	781	474
311	783	471
312	785	469
313	788	467
314	790	464
315	792	461
316	795	458
317	797	456
318	799	453
319	801	450
320	803	447
321	805	445
322	807	442
323	809	439
324	810	436
325	812	433
326	814	431
327	816	428
328	818	425
329	820	422
330	823	420
331	825	417
332	829	416
333	832	413
334	834	410
335	836	408
336	838	405
337	840	402
338	842	400
339	844	397
340	846	394
341	848	391
342	850	389
343	852	386
344	855	384
345	857	381
346	859	378
347	862	376
348	865	374
349	867	371
350	870	369
351	874	367
352	877	365
353	880	363
354	884	361
355	887	359
356	891	356
357	894	354
358	898	352
359	902	350
360	906	349
361	910	347
