iter	Passed	Remaining
0	3	1595
1	5	1340
2	7	1282
3	13	1657
4	16	1670
5	19	1565
6	22	1552
7	24	1532
8	27	1512
9	30	1482
10	32	1450
11	34	1420
12	37	1407
13	40	1412
14	44	1438
15	48	1476
16	52	1481
17	55	1475
18	59	1509
19	62	1502
20	67	1537
21	70	1538
22	74	1540
23	77	1545
24	80	1526
25	82	1506
26	84	1486
27	87	1467
28	90	1462
29	92	1443
30	94	1430
31	96	1416
32	100	1417
33	102	1404
34	104	1394
35	107	1391
36	110	1378
37	112	1366
38	114	1359
39	117	1347
40	119	1335
41	122	1332
42	124	1327
43	127	1320
44	129	1312
45	132	1309
46	135	1301
47	137	1294
48	139	1288
49	142	1280
50	145	1276
51	147	1269
52	149	1264
53	152	1258
54	154	1251
55	157	1247
56	159	1239
57	161	1230
58	164	1226
59	165	1217
60	167	1209
61	169	1200
62	171	1191
63	173	1184
64	177	1188
65	179	1181
66	181	1173
67	183	1165
68	185	1157
69	188	1155
70	190	1151
71	192	1144
72	194	1138
73	196	1132
74	199	1128
75	201	1123
76	203	1119
77	206	1114
78	207	1107
79	209	1100
80	211	1095
81	214	1091
82	217	1091
83	219	1087
84	222	1084
85	224	1081
86	227	1078
87	229	1076
88	232	1075
89	235	1071
90	238	1072
91	241	1068
92	243	1066
93	246	1065
94	249	1065
95	252	1061
96	254	1058
97	256	1054
98	259	1049
99	263	1055
100	266	1053
101	269	1050
102	271	1047
103	274	1044
104	277	1042
105	279	1038
106	281	1033
107	283	1029
108	285	1025
109	288	1022
110	290	1018
111	294	1019
112	296	1015
113	299	1012
114	304	1019
115	306	1015
116	309	1013
117	312	1011
118	314	1008
119	317	1004
120	319	1001
121	321	997
122	324	993
123	326	989
124	329	987
125	331	984
126	333	980
127	336	978
128	339	975
129	341	973
130	344	970
131	346	966
132	348	962
133	351	959
134	354	957
135	356	954
136	359	951
137	361	947
138	363	943
139	366	942
140	368	938
141	370	934
142	372	929
143	374	925
144	376	921
145	378	918
146	381	916
147	383	912
148	385	908
149	387	904
150	389	900
151	392	898
152	394	895
153	397	891
154	399	888
155	402	886
156	403	882
157	406	880
158	408	876
159	410	873
160	413	870
161	415	866
162	417	863
163	419	859
164	421	855
165	423	851
166	425	848
167	427	844
168	429	840
169	431	837
170	433	834
171	437	833
172	439	830
173	441	826
174	443	823
175	445	819
176	447	816
177	449	813
178	451	809
179	453	806
180	455	803
181	457	800
182	460	796
183	462	793
184	464	790
185	466	787
186	468	784
187	470	781
188	473	778
189	475	775
190	477	772
191	479	769
192	481	766
193	483	762
194	485	759
195	487	756
196	490	753
197	492	751
198	496	750
199	501	752
200	504	750
201	506	747
202	508	743
203	510	740
204	512	737
205	515	735
206	517	731
207	519	728
